YEAR,B_WAE-Y,C_WAE-Y,B_WAE-A,C_WAE-A,B_YEP-A,C_YEP-A,B_RAT-A,C_RAT-A,B_LWF,C_LWF,B_BUT,C_BUT,B_WHP,C_WHP,B_WHB,C_WHB,B_SMB,C_SMB,B_LKT,C_LKT,B_RAS,C_RAS,B_SUK,C_SUK,B_CAT,C_CAT,B_PanF,C_PanF
2,0.994542343678247,0.99454,1.00121258783657,0.31965,1.00089172149016,0.28387,1.00202338799657,1,0.999716338510133,0.99972,1.00001555990148,1.00002,0.999418288126366,0.99942,0.99974816988896,0.99975,1.00157951776386,1.00158,1.00069626662462,1.0007,0.989844803606899,0.98984,0.999329267105476,0.99933,1.0003514697449,1.00035,0.998443689799065,0.99844
3,1.24991697361187,1.24992,1.2752088643818,0.3692,1.30541823048956,0.29637,1.00405054215035,1,1.03263742584894,1.03264,0.99697354237512,0.99697,1.15003720689581,1.15004,1.08210554428008,1.08211,1.23549958629123,1.2355,1.02038360104186,1.02038,1.48334340350194,1.48334,1.06915918585393,1.06916,1.03684783564809,1.03685,1.17632899537292,1.17633
4,2.06694080336939,2.06694,1.7939518913764,0.44985,1.86739610280334,0.31694,1.58686313079527,1,1.34367767808778,1.34368,1.07456554653927,1.07457,1.44852193754026,1.44852,1.41729045163086,1.41729,1.6534246548699,1.65342,1.250837963641,1.25084,1.81346284355921,1.81346,1.24157495902133,1.24157,1.31096283779546,1.31096,1.81696098003191,1.81696
5,0.905189867993826,0.90519,2.25974748189127,0.51161,2.90506032866698,0.3496,1.92239280154339,1,1.31698120131053,1.31698,1.15564944246147,1.15565,1.7959921156055,1.79599,1.91821450801518,1.91821,2.33737670475881,2.33738,1.49607340404077,1.49607,1.33280339846479,1.3328,1.30283084419101,1.30283,1.56802520911614,1.56803,1.90226958847483,1.90227
6,0.314654039091963,0.31465,2.67117333849525,0.55979,2.63963395781885,0.34174,1.61965225708206,1,1.14920951692544,1.14921,1.16396876525822,1.16397,2.07041464356491,2.07041,2.30507155759884,2.30507,2.66003400211948,2.66003,1.41661692058118,1.41662,0.976642812567074,0.97664,1.21438057714516,1.21438,1.63740136818512,1.6374,1.28160911203449,1.28161
7,0.752109806542733,0.75211,3.16036119108917,0.61086,2.48674784847975,0.33708,1.29005051779053,1,1.35128101542567,1.35128,1.15798433629013,1.15798,2.52951432288728,2.52951,2.79345563898567,2.79346,2.83453412944802,2.83453,1.12778767296535,1.12779,1.21469582921325,1.2147,1.32932947093405,1.32933,1.64701809130261,1.64702,1.76376665084346,1.76377
8,0.615741814203962,0.61574,3.47072332220019,0.64027,2.50109836136147,0.33752,1.4594545129942,1,1.48400738097092,1.48401,1.17981669527455,1.17982,2.76581448040277,2.76581,3.20734167746609,3.20734,2.99400056887052,2.994,1.08064387849521,1.08064,0.835056407418757,0.83506,1.38982883267682,1.38983,1.68714691944713,1.68715,1.88363705058708,1.88364
9,0.556338925667728,0.55634,3.38051350044851,0.63193,2.18544695656258,0.32755,1.19972260248836,1,1.36912736366537,1.36913,1.1473412501052,1.14734,2.9861614367644,2.98616,3.32491052995342,3.32491,2.81225710077103,2.81226,0.886124307823365,0.88612,0.771155356440545,0.77116,1.37945015570069,1.37945,1.51300510281155,1.51301,1.58473262027182,1.58473
10,0.760130348400204,0.76013,3.15647200199398,0.61045,1.92884152522141,0.31904,1.1929353461387,1,1.4865643199336,1.48656,1.11472031417826,1.11472,3.06463597631272,3.06464,3.27008978349986,3.27009,2.47682174547477,2.47682,0.725092788159643,0.72509,0.650589818253101,0.65059,1.41878055146884,1.41878,1.41204638792422,1.41205,1.77466632452519,1.77467
11,0.887265200548244,0.88727,2.81923250806946,0.57588,1.84455476543635,0.31615,1.10524670573427,1,1.42928338985376,1.42928,1.07826096635166,1.07826,3.1920087936704,3.19201,3.08446663352925,3.08447,2.33222186057682,2.33222,0.627322258946734,0.62732,0.690544173714751,0.69054,1.41347553266186,1.41348,1.2958630954259,1.29586,1.68726618456732,1.68727
12,0.728068779225151,0.72807,2.56225361240713,0.54751,1.69171561970436,0.31079,1.12132939900785,1,1.42719207353045,1.42719,1.04506749419599,1.04507,3.14650160745606,3.1465,2.75849637917793,2.7585,2.13705138486304,2.13705,0.559403749174894,0.5594,0.607562365774164,0.60756,1.37364712589548,1.37365,1.2477795558648,1.24778,1.59547722983454,1.59548
13,0.68763886610903,0.68764,2.3056027964722,0.51721,1.57484228055276,0.30657,1.03214952060825,1,1.38195205145048,1.38195,1.00588675367415,1.00589,3.08750637669921,3.08751,2.37336866006778,2.37337,2.00266326909273,2.00266,0.509490423985001,0.50949,0.628344216145934,0.62834,1.33493719037832,1.33494,1.17650456306259,1.1765,1.502376732779,1.50238
14,0.70473002021603,0.70473,2.17110721421177,0.50045,1.4791805437603,0.30303,1.03253751493241,1,1.35612978530165,1.35613,0.973343503678667,0.97334,2.9687980250078,2.9688,2.01109721651547,2.0111,1.91097786642971,1.91098,0.491414071525407,0.49141,0.608611110766478,0.60861,1.29846936912928,1.29847,1.13339002870526,1.13339,1.44318192239158,1.44318
15,1.14139622461527,1.1414,2.11211693000323,0.49291,1.53657956222091,0.30516,1.05325955297797,1,1.39877617383667,1.39878,0.94951805760639,0.94952,3.09576656907867,3.09577,1.85564981581951,1.85565,1.89898168688956,1.89898,0.50785756006845,0.50786,0.777852783646873,0.77785,1.32843125622894,1.32843,1.1589636150887,1.15896,1.6059028741718,1.6059
